Report generated on: 11-17-2024 10:07:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil including lease condensate production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-ETH-TBPD.A","        Ethiopia","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-FLK-TBPD.A","        Falkland Islands","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-FRO-TBPD.A","        Faroe Islands","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-FJI-TBPD.A","        Fiji","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-FIN-TBPD.A","        Finland","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CSK-TBPD.A","        Former Czechoslovakia","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.57-1-SCG-TBPD.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","23","23","21.56","21.32","20.544","19.58","18.26","17","20","18","16","15","13.2","12.161643835616438","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.57-1-SUN-TBPD.A","        Former U.S.S.R.","11705.934426229509","11850.063013698631","11911.928767123287","11971.753424657534","11860.74863387978","11584.745205479452","11894.824657534247","12050.243835616438","12053.428961748634","11715.002739726027","10974.942465753425","9991.997260273973","--","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.57-1-YUG-TBPD.A","        Former Yugoslavia","","","","","82","84","84","79","75.2431693989071","68.73972602739725","63.76986301369863","56.13972602739726","--","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.57-1-FRA-TBPD.A","        France","","","","","41","53.0986301369863","59.25205479452055","65.01095890410959","67.1584699453552","64.9945205479452","60.8986301369863","59.347945205479455","57.32786885245902","55.33424657534247","55.61373424657534","50.208282191780825","42.229521857923494","35.88773424657534","34.345364383561645","30.91234794520548","28.360685792349727","27.77530410958904","26.364331506849314","24.56174520547945","22.912677595628416","21.64924383561644","21.40257808219178","19.558939726027397","19.5","18.15068493150685","18.084931506849315","17.83013698630137","16.25136612021858","16.002739726027396","15.336986301369864","16.671232876712327","16.418032786885245","15.199969863013699"
"INTL.57-1-GUF-TBPD.A","        French Guiana","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-PYF-TBPD.A","        French Polynesia","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-GAB-TBPD.A","        Gabon","175","151","156","157","157","172","166","155","159","208","269.91506849315067","293.97534246575344","291.775956284153","295.9506849315068","344.4931506849315","368.6027397260274","371","375.972602739726","356.472602739726","318.2054794520548","275.59550273224045","261.9416602739726","256.2712794520548","273.5582273972603","273.23054098360655","270","242","246","248.13661202185793","242.12876712328767","245.87671232876713","241.35342465753425","230","220","220","213.32876712328766","210.81967213114754","198.84931506849315"
"INTL.57-1-GMB-TBPD.A","        Gambia, The","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
